2013-01-01 00:50:00,10300
2013-01-01 00:50:01,10001
2013-01-01 00:50:02,10011
2013-01-01 00:50:03,12211
2013-01-01 00:50:04,13100
2013-01-01 00:50:05,13041
2013-01-01 00:50:06,11453
2013-01-01 00:50:07,13535
2013-01-01 00:50:08,11634
2013-01-01 00:50:09,13784
2013-01-01 00:50:10,15158
2013-01-01 00:50:11,16358
2013-01-01 00:50:12,16953
2013-01-01 00:50:13,14346
2013-01-01 00:50:14,11456
2013-01-01 00:50:15,104
2013-01-01 00:50:16,1167
2013-01-01 00:50:17,104
2013-01-01 00:50:18,1067
2013-01-01 00:50:19,1054
2013-01-01 00:50:20,107
2013-01-01 00:50:21,113
2013-01-01 00:50:22,9
2013-01-01 00:50:23,8
